"maize_strain","mean_value","sd_value","indi_count_per_pop_trait"
"B73",3.52782205746061,0.566708085040533,1079
"B97",3.98826086956522,0.487858378119562,46
"CML103",4.23972972972973,0.758336946828338,37
"CML228",5.37888888888889,0.915634267112755,9
"CML247",3.43433333333333,0.524612719772526,30
"CML277",3.92566666666667,0.363552238179134,30
"CML322",5.44756097560976,0.483961674555976,41
"CML333",5.51828571428571,0.700913209842055,35
"CML52",4.4192,0.51435169550286,25
"CML69",4.5341935483871,0.638251644173615,31
"HP301",4.11,0.394799527186478,4
"Il14H",6.51192307692308,0.830228976756505,26
"KI3",4.51735294117647,0.651400862586907,34
"Ki11",4.68757575757576,0.376198337840479,33
"Ky21",3.56638888888889,0.473667470928576,36
"M162W",4.337,0.615658604456544,30
"M37W",3.49411764705882,0.35895570459454,34
"MO18W",4.07147058823529,0.436286897218438,34
"Ms71",4.13,0.408956543590459,23
"NC350",5.1721875,0.657079237991888,32
"NC358",3.88519230769231,0.425940667803261,52
"Oh43",3.42052631578947,0.477045792852166,38
"Oh7B",5.33291666666667,0.556694273809919,24
"P39",8.373125,1.17030320145394,16
"Tx303",3.78138888888889,0.358147238498979,36
"Tzi8",5.26333333333333,0.942744830848705,30
